report_id,report_type,site,activity,report_text,language,sif_potential,life_saving_rule
V4-00907,Unsafe Condition,Gas Processing Unit,pipeline maintenance,"at the start of the work period, at Loading Terminal, A field observation was recorded during pipeline maintenance: the line was opened only after zero-energy conditions had been verified. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-00597,Near Miss,Gas Processing Unit,pump maintenance,"at the start of the work period, at Compressor Station 2, While pump maintenance was underway, maintenance began after the isolation points had been confirmed. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-03383,Unsafe Condition,Pipeline Station 3,cutting,"during routine field activity, at Maintenance Workshop, During cutting, it was observed that cutting began before the required hot-work precautions were confirmed. The work area was subsequently reviewed.",English,YES,Hot Work
V4-00561,Unsafe Act,Compressor Station 2,valve maintenance,"during the afternoon shift, at Tank Farm, While valve maintenance was underway, the valve was opened after the isolation arrangement had been confirmed. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-01530,Near Miss,Compressor Station 2,tank cleaning,"at the start of the work period, at Maintenance Workshop, During a planned work activity involving tank cleaning, personnel entered the tank after the atmosphere had been checked. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-01211,Unsafe Condition,Maintenance Workshop,tank cleaning,"during a planned maintenance window, at Compressor Station 2, During tank cleaning, it was observed that the crew entered before confirmation of the required standby arrangement. The supervisor reviewed the situation.",English,YES,Confined Space
V4-01513,Unsafe Condition,Pipeline Station 3,tank cleaning,"at the start of the work period, at Process Unit, The crew was engaged in tank cleaning; cleaning began after the required entry controls had been verified. The condition was discussed with the crew.",English,NO,Confined Space
V4-03574,Near Miss,Compressor Station 2,welding,"at the start of the work period, at Production Area B, The report relates to welding. At the time of the observation, welding started after the work area had been verified for the task.",English,NO,Hot Work
V4-01725,Safety Observation,Refinery Area A,tank cleaning,"at the start of the work period, at Production Area B, While tank cleaning was underway, tank entry proceeded after the communication arrangement had been confirmed. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-02721,Near Miss,Process Unit,vehicle movement,"while preparing the work area, at Gas Processing Unit, The team was carrying out vehicle movement when the vehicle moved after pedestrians had cleared the affected area. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-02150,Safety Observation,Maintenance Workshop,lifting operation,"while preparing the work area, at Maintenance Workshop, An observation during lifting operation found that a worker entered the area beneath the suspended load. The activity was brought to the attention of the supervisor.",English,YES,Line of Fire
V4-02957,Unsafe Condition,Process Unit,crane operation,"during a planned maintenance window, at Loading Terminal, A field observation was recorded during crane operation: personnel stayed outside the load travel area during crane movement. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-00410,Unsafe Act,Utility Section,valve maintenance,"before the evening shutdown, at Refinery Area A, An observation during valve maintenance found that the crew began work without confirming the relevant energy isolation. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-03090,Near Miss,Utility Section,cutting,"while preparing the work area, at Gas Processing Unit, While cutting was underway, cutting continued while personnel remained exposed to the affected area.",English,YES,Hot Work
V4-00027,Safety Observation,Gas Processing Unit,pipeline maintenance,"at the start of the work period, at Production Area B, An observation during pipeline maintenance found that work started before confirmation that all relevant energy sources were isolated. The condition was discussed with the crew.",English,YES,Energy Isolation
V4-01770,Near Miss,Maintenance Workshop,confined-space maintenance,"At Refinery Area A, An observation during confined-space maintenance found that the maintenance crew entered after authorization for entry was confirmed. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-01681,Unsafe Condition,Pipeline Station 3,confined-space maintenance,"during a planned maintenance window, at Process Unit, A field observation was recorded during confined-space maintenance: the maintenance crew entered after authorization for entry was confirmed. The work area was subsequently reviewed.",English,NO,Confined Space
V4-03906,Safety Observation,Gas Processing Unit,grinding,"during the morning shift, at Gas Processing Unit, During grinding, it was observed that the grinding activity continued after the required controls were verified. The observation was reported to the site team.",English,NO,Hot Work
V4-02702,Unsafe Condition,Process Unit,vehicle movement,"before the evening shutdown, at Process Unit, A field observation was recorded during vehicle movement: pedestrians remained outside the vehicle movement path while the vehicle was reversing. The activity was brought to the attention of the supervisor.",English,NO,Line of Fire
V4-00756,Unsafe Condition,Pipeline Station 3,pipeline maintenance,"At Tank Farm, While pipeline maintenance was underway, the isolation status had been confirmed before the crew began work. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-03495,Near Miss,Gas Processing Unit,welding,"during the morning shift, at Process Unit, Work involving welding was observed. At the time, welding started before the work area had been verified for the task.",English,YES,Hot Work
V4-01748,Near Miss,Gas Processing Unit,tank cleaning,"during a planned maintenance window, at Compressor Station 2, The report relates to tank cleaning. At the time of the observation, tank entry proceeded after the communication arrangement had been confirmed. The supervisor reviewed the situation.",English,NO,Confined Space
V4-03527,Near Miss,Loading Terminal,grinding,"during a planned maintenance window, at Compressor Station 2, The team was carrying out grinding when grinding proceeded after personnel had moved outside the affected hazard area. The work area was subsequently reviewed.",English,NO,Hot Work
V4-02998,Unsafe Condition,Loading Terminal,vehicle movement,"during the morning shift, at Process Unit, The crew was engaged in vehicle movement; vehicle movement continued with effective separation from pedestrians. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-03941,Unsafe Act,Gas Processing Unit,welding,"during routine field activity, at Tank Farm, During welding, it was observed that welding began after the required gas test had been completed.",English,NO,Hot Work
V4-00205,Unsafe Act,Compressor Station 2,pipeline maintenance,"during the morning shift, at Gas Processing Unit, The team was carrying out pipeline maintenance when the crew approached the line while the required isolation remained unverified. The observation was reported to the site team.",English,YES,Energy Isolation
V4-02612,Unsafe Condition,Process Unit,lifting operation,"during the morning shift, at Compressor Station 2, During a planned work activity involving lifting operation, the load was moved after the affected area had been fully cleared. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-03180,Safety Observation,Production Area B,welding,"during the morning shift, at Refinery Area A, While welding was underway, the welding activity continued while the required hot-work controls were incomplete. The work area was subsequently reviewed.",English,YES,Hot Work
V4-01269,Near Miss,Tank Farm,confined-space maintenance,"during a planned maintenance window, at Process Unit, During the work period, work continued after communication with the standby person became unavailable while the crew was engaged in confined-space maintenance. The supervisor reviewed the situation.",English,YES,Confined Space
V4-03763,Unsafe Condition,Production Area B,cutting,"during the morning shift, at Maintenance Workshop, The crew was engaged in cutting; the cutting activity proceeded after the required atmosphere check was completed. The condition was discussed with the crew.",English,NO,Hot Work
V4-00475,Near Miss,Utility Section,valve maintenance,"while preparing the work area, at Process Unit, An observation during valve maintenance found that the valve was opened before the isolation arrangement had been confirmed. The observation was reported to the site team.",English,YES,Energy Isolation
V4-01713,Unsafe Act,Utility Section,tank cleaning,"before the evening shutdown, at Pipeline Station 3, Work involving tank cleaning was observed. At the time, personnel entered the tank after the atmosphere had been checked. The work area was subsequently reviewed.",English,NO,Confined Space
V4-03475,Near Miss,Pipeline Station 3,welding,"during a planned maintenance window, at Tank Farm, The report relates to welding. At the time of the observation, the crew began welding while the required authorization remained unconfirmed.",English,YES,Hot Work
V4-00929,Safety Observation,Production Area B,pipeline maintenance,"before the evening shutdown, at Pipeline Station 3, The team was carrying out pipeline maintenance when the crew approached the line after the required isolation had been confirmed. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-00081,Near Miss,Utility Section,valve maintenance,"during the afternoon shift, at Process Unit, The crew was engaged in valve maintenance; the crew began work without confirming the relevant energy isolation. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-02331,Near Miss,Refinery Area A,crane operation,"during a planned maintenance window, at Tank Farm, An observation during crane operation found that personnel remained inside the exclusion zone while the load was being moved. The condition was discussed with the crew.",English,YES,Line of Fire
V4-02103,Unsafe Condition,Loading Terminal,vehicle movement,"while preparing the work area, at Process Unit, A field observation was recorded during vehicle movement: vehicle movement continued without effective separation from a pedestrian. The observation was reported to the site team.",English,YES,Line of Fire
V4-02575,Safety Observation,Gas Processing Unit,crane operation,"At Process Unit, During crane operation, it was observed that personnel stayed outside the load travel area during crane movement. The condition was discussed with the crew.",English,NO,Line of Fire
V4-02366,Unsafe Act,Refinery Area A,lifting operation,"during a planned maintenance window, at Tank Farm, During a planned work activity involving lifting operation, the load was moved while the affected area had not been fully cleared. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-01858,Unsafe Condition,Maintenance Workshop,vessel inspection,"during the morning shift, at Production Area B, The report relates to vessel inspection. At the time of the observation, entry began only after the required gas test was completed. The condition was discussed with the crew.",English,NO,Confined Space
V4-01288,Safety Observation,Production Area B,tank cleaning,"at the start of the work period, at Refinery Area A, While tank cleaning was underway, cleaning began while the required entry controls were still being verified. The observation was reported to the site team.",English,YES,Confined Space
V4-02678,Near Miss,Process Unit,vehicle movement,"while preparing the work area, at Pipeline Station 3, A field observation was recorded during vehicle movement: the worker entered the area only after vehicle movement was completed. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-00610,Unsafe Condition,Loading Terminal,pipeline maintenance,"while preparing the work area, at Loading Terminal, During pipeline maintenance, it was observed that the line was opened only after zero-energy conditions had been verified. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-00237,Unsafe Condition,Tank Farm,pump maintenance,"during the afternoon shift, at Tank Farm, Work involving pump maintenance was observed. At the time, maintenance began while the isolation points had not yet been confirmed. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-00837,Unsafe Act,Maintenance Workshop,pump maintenance,"at the start of the work period, at Production Area B, An observation during pump maintenance found that the pump was approached after its energy isolation had been verified. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-01949,Safety Observation,Maintenance Workshop,vessel inspection,"at the start of the work period, at Refinery Area A, The team was carrying out vessel inspection when a technician entered the vessel after atmospheric testing was completed. The condition was discussed with the crew.",English,NO,Confined Space
V4-01022,Unsafe Act,Tank Farm,confined-space maintenance,"during the afternoon shift, at Maintenance Workshop, An observation during confined-space maintenance found that work continued after communication with the standby person became unavailable. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-02748,Safety Observation,Gas Processing Unit,crane operation,"At Loading Terminal, During the work period, the exclusion zone was maintained while the load was being moved while the crew was engaged in crane operation. The condition was discussed with the crew.",English,NO,Line of Fire
V4-02729,Near Miss,Compressor Station 2,crane operation,"during routine field activity, at Compressor Station 2, The team was carrying out crane operation when the suspended load was moved only after workers had cleared its potential path. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-01238,Near Miss,Compressor Station 2,confined-space maintenance,"during routine field activity, at Process Unit, The team was carrying out confined-space maintenance when personnel started the task before the required confined-space controls were verified. The supervisor reviewed the situation.",English,YES,Confined Space
V4-02719,Near Miss,Tank Farm,vehicle movement,"during routine field activity, at Refinery Area A, A field observation was recorded during vehicle movement: the vehicle moved after pedestrians had cleared the affected area. The observation was reported to the site team.",English,NO,Line of Fire
V4-00337,Unsafe Act,Refinery Area A,pipeline maintenance,"at the start of the work period, at Refinery Area A, During a planned work activity involving pipeline maintenance, the line was opened before zero-energy conditions had been confirmed. The observation was reported to the site team.",English,YES,Energy Isolation
V4-00978,Safety Observation,Maintenance Workshop,pump maintenance,"during the morning shift, at Tank Farm, An observation during pump maintenance found that maintenance began after the isolation points had been confirmed. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-00526,Unsafe Condition,Maintenance Workshop,pump maintenance,"before the evening shutdown, at Pipeline Station 3, During pump maintenance, it was observed that the pump was approached after its energy isolation had been verified. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-02901,Safety Observation,Refinery Area A,vehicle movement,"before the evening shutdown, at Utility Section, The report relates to vehicle movement. At the time of the observation, the vehicle moved after pedestrians had cleared the affected area. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-01603,Unsafe Act,Compressor Station 2,tank cleaning,"during the afternoon shift, at Loading Terminal, Work involving tank cleaning was observed. At the time, personnel entered the tank after the atmosphere had been checked. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-03364,Unsafe Condition,Process Unit,welding,"during the morning shift, at Compressor Station 2, During welding, it was observed that welding began before the required gas test had been completed. The condition was discussed with the crew.",English,YES,Hot Work
V4-01003,Unsafe Condition,Production Area B,confined-space maintenance,"while preparing the work area, at Production Area B, During the work period, the crew entered while atmospheric conditions remained unchecked while the crew was engaged in confined-space maintenance. The work area was subsequently reviewed.",English,YES,Confined Space
V4-02943,Safety Observation,Loading Terminal,crane operation,"during routine field activity, at Refinery Area A, During crane operation, it was observed that workers remained outside the suspended-load area while it was moving. The observation was reported to the site team.",English,NO,Line of Fire
V4-03274,Unsafe Condition,Maintenance Workshop,grinding,"before the evening shutdown, at Gas Processing Unit, An observation during grinding found that grinding proceeded while personnel remained within the affected hazard area. The observation was reported to the site team.",English,YES,Hot Work
V4-01228,Safety Observation,Refinery Area A,tank cleaning,"while preparing the work area, at Maintenance Workshop, The crew was engaged in tank cleaning; tank entry proceeded while the communication arrangement remained unavailable. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-03785,Unsafe Condition,Tank Farm,cutting,"during the morning shift, at Maintenance Workshop, The crew was engaged in cutting; the crew started cutting after authorization for the activity was confirmed.",English,NO,Hot Work
V4-01580,Safety Observation,Tank Farm,confined-space maintenance,"during the morning shift, at Refinery Area A, The report relates to confined-space maintenance. At the time of the observation, the maintenance crew entered after authorization for entry was confirmed. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-03103,Safety Observation,Maintenance Workshop,cutting,"during a planned maintenance window, at Pipeline Station 3, The team was carrying out cutting when cutting began before the required hot-work precautions were confirmed. The work area was subsequently reviewed.",English,YES,Hot Work
V4-01075,Near Miss,Maintenance Workshop,tank cleaning,"before the evening shutdown, at Maintenance Workshop, While tank cleaning was underway, the crew entered before confirmation of the required standby arrangement. The condition was discussed with the crew.",English,YES,Confined Space
V4-02841,Near Miss,Refinery Area A,vehicle movement,"during the morning shift, at Compressor Station 2, While vehicle movement was underway, vehicle movement continued with effective separation from pedestrians.",English,NO,Line of Fire
V4-01010,Near Miss,Loading Terminal,vessel inspection,"during the morning shift, at Loading Terminal, While vessel inspection was underway, entry began while the required gas test was still pending. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-02264,Near Miss,Process Unit,crane operation,"before the evening shutdown, at Utility Section, The team was carrying out crane operation when personnel remained inside the exclusion zone while the load was being moved. The supervisor reviewed the situation.",English,YES,Line of Fire
V4-01113,Unsafe Condition,Loading Terminal,vessel inspection,"during routine field activity, at Loading Terminal, During a planned work activity involving vessel inspection, the technician entered before the required entry authorization was confirmed. The supervisor reviewed the situation.",English,YES,Confined Space
V4-01346,Safety Observation,Process Unit,confined-space maintenance,"during the morning shift, at Process Unit, During confined-space maintenance, it was observed that work continued after communication with the standby person became unavailable. The work area was subsequently reviewed.",English,YES,Confined Space
V4-00778,Near Miss,Maintenance Workshop,pump maintenance,"at the start of the work period, at Refinery Area A, During the work period, the crew started work after the energy source had been verified as isolated while the crew was engaged in pump maintenance.",English,NO,Energy Isolation
V4-00939,Unsafe Act,Gas Processing Unit,pipeline maintenance,"at the start of the work period, at Tank Farm, The team was carrying out pipeline maintenance when the crew approached the line after the required isolation had been confirmed. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-00085,Safety Observation,Loading Terminal,valve maintenance,"during routine field activity, at Loading Terminal, An observation during valve maintenance found that the equipment was accessed before the isolation points were verified. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-01350,Unsafe Act,Utility Section,tank cleaning,"during the afternoon shift, at Gas Processing Unit, The team was carrying out tank cleaning when the crew entered before confirmation of the required standby arrangement. The observation was reported to the site team.",English,YES,Confined Space
V4-00748,Unsafe Act,Compressor Station 2,valve maintenance,"during the afternoon shift, at Refinery Area A, The crew was engaged in valve maintenance; maintenance proceeded after the isolation status had been verified. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-03562,Near Miss,Gas Processing Unit,cutting,"At Production Area B, While cutting was underway, cutting continued after personnel had moved outside the affected area. The observation was reported to the site team.",English,NO,Hot Work
V4-03001,Near Miss,Pipeline Station 3,cutting,"at the start of the work period, at Tank Farm, A field observation was recorded during cutting: the crew started cutting before authorization for the activity was confirmed. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-00777,Safety Observation,Pipeline Station 3,valve maintenance,"while preparing the work area, at Pipeline Station 3, During valve maintenance, it was observed that the equipment was accessed only after the isolation points were verified. The observation was reported to the site team.",English,NO,Energy Isolation
V4-00719,Unsafe Act,Tank Farm,valve maintenance,"during routine field activity, at Process Unit, An observation during valve maintenance found that the crew began work after confirming the relevant energy isolation. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-02039,Safety Observation,Loading Terminal,crane operation,"while preparing the work area, at Refinery Area A, A field observation was recorded during crane operation: personnel remained inside the exclusion zone while the load was being moved. The observation was reported to the site team.",English,YES,Line of Fire
V4-00360,Safety Observation,Process Unit,valve maintenance,"At Production Area B, A field observation was recorded during valve maintenance: the equipment was accessed before the isolation points were verified. The supervisor reviewed the situation.",English,YES,Energy Isolation
V4-03356,Near Miss,Compressor Station 2,welding,"at the start of the work period, at Process Unit, During the work period, welding began before the required gas test had been completed while the crew was engaged in welding. The condition was discussed with the crew.",English,YES,Hot Work
V4-00091,Unsafe Act,Gas Processing Unit,pump maintenance,"At Refinery Area A, During a planned work activity involving pump maintenance, maintenance began while the isolation points had not yet been confirmed. The supervisor reviewed the situation.",English,YES,Energy Isolation
V4-01190,Unsafe Act,Maintenance Workshop,tank cleaning,"at the start of the work period, at Compressor Station 2, The crew was engaged in tank cleaning; personnel entered the tank before the atmosphere had been checked. The work area was subsequently reviewed.",English,YES,Confined Space
V4-00971,Safety Observation,Refinery Area A,pump maintenance,"during the morning shift, at Refinery Area A, During a planned work activity involving pump maintenance, the crew started work after the energy source had been verified as isolated. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-03462,Unsafe Condition,Utility Section,grinding,"before the evening shutdown, at Gas Processing Unit, During the work period, grinding started while personnel remained exposed to the work area without the required protection while the crew was engaged in grinding. The condition was discussed with the crew.",English,YES,Hot Work
V4-00832,Safety Observation,Tank Farm,valve maintenance,"at the start of the work period, at Compressor Station 2, Work involving valve maintenance was observed. At the time, the equipment was accessed only after the isolation points were verified. The observation was reported to the site team.",English,NO,Energy Isolation
V4-00311,Safety Observation,Tank Farm,valve maintenance,"before the evening shutdown, at Gas Processing Unit, The crew was engaged in valve maintenance; the equipment was accessed before the isolation points were verified. The observation was reported to the site team.",English,YES,Energy Isolation
V4-03833,Unsafe Act,Refinery Area A,cutting,"during the morning shift, at Tank Farm, An observation during cutting found that the crew started cutting after authorization for the activity was confirmed. The supervisor reviewed the situation.",English,NO,Hot Work
V4-01105,Near Miss,Pipeline Station 3,tank cleaning,"while preparing the work area, at Pipeline Station 3, An observation during tank cleaning found that tank entry proceeded while the communication arrangement remained unavailable. The condition was discussed with the crew.",English,YES,Confined Space
V4-02704,Unsafe Act,Production Area B,lifting operation,"during the afternoon shift, at Refinery Area A, An observation during lifting operation found that workers remained outside the area beneath the suspended load. The condition was discussed with the crew.",English,NO,Line of Fire
V4-01674,Unsafe Act,Process Unit,vessel inspection,"during the afternoon shift, at Production Area B, The report relates to vessel inspection. At the time of the observation, entry began only after the required gas test was completed. The supervisor reviewed the situation.",English,NO,Confined Space
V4-03104,Unsafe Act,Utility Section,welding,"during routine field activity, at Gas Processing Unit, During a planned work activity involving welding, welding started before the work area had been verified for the task. The work area was subsequently reviewed.",English,YES,Hot Work
V4-03695,Safety Observation,Tank Farm,grinding,"during the afternoon shift, at Process Unit, The crew was engaged in grinding; grinding proceeded after personnel had moved outside the affected hazard area. The activity was brought to the attention of the supervisor.",English,NO,Hot Work
V4-00529,Near Miss,Gas Processing Unit,valve maintenance,"at the start of the work period, at Refinery Area A, While valve maintenance was underway, the valve was opened after the isolation arrangement had been confirmed. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-01146,Unsafe Condition,Utility Section,tank cleaning,"At Process Unit, Work involving tank cleaning was observed. At the time, cleaning began while the required entry controls were still being verified. The supervisor reviewed the situation.",English,YES,Confined Space
V4-01102,Unsafe Condition,Process Unit,confined-space maintenance,"before the evening shutdown, at Gas Processing Unit, The report relates to confined-space maintenance. At the time of the observation, work continued after communication with the standby person became unavailable. The work area was subsequently reviewed.",English,YES,Confined Space
V4-03640,Safety Observation,Refinery Area A,grinding,"At Maintenance Workshop, A field observation was recorded during grinding: the crew began grinding after the work area had been adequately controlled. The activity was brought to the attention of the supervisor.",English,NO,Hot Work
V4-03771,Safety Observation,Compressor Station 2,grinding,"while preparing the work area, at Compressor Station 2, The crew was engaged in grinding; the grinding activity continued after the required controls were verified. The condition was discussed with the crew.",English,NO,Hot Work
V4-00822,Safety Observation,Process Unit,pipeline maintenance,"before the evening shutdown, at Compressor Station 2, Work involving pipeline maintenance was observed. At the time, the crew approached the line after the required isolation had been confirmed. The observation was reported to the site team.",English,NO,Energy Isolation
V4-03523,Unsafe Act,Compressor Station 2,cutting,"while preparing the work area, at Process Unit, The crew was engaged in cutting; the crew started cutting after authorization for the activity was confirmed. The observation was reported to the site team.",English,NO,Hot Work
V4-00524,Near Miss,Tank Farm,valve maintenance,"At Maintenance Workshop, During the work period, the equipment was accessed only after the isolation points were verified while the crew was engaged in valve maintenance. The observation was reported to the site team.",English,NO,Energy Isolation
V4-01140,Safety Observation,Compressor Station 2,confined-space maintenance,"during the morning shift, at Refinery Area A, A field observation was recorded during confined-space maintenance: work continued after communication with the standby person became unavailable. The condition was discussed with the crew.",English,YES,Confined Space
V4-01972,Unsafe Condition,Production Area B,tank cleaning,"during the morning shift, at Process Unit, The crew was engaged in tank cleaning; personnel entered the tank after the atmosphere had been checked. The observation was reported to the site team.",English,NO,Confined Space
V4-01648,Unsafe Condition,Refinery Area A,confined-space maintenance,"while preparing the work area, at Utility Section, During a planned work activity involving confined-space maintenance, personnel started the task after the required confined-space controls were verified. The observation was reported to the site team.",English,NO,Confined Space
