report_id,report_type,site,activity,report_text,language,sif_potential,precursor,evidence,life_saving_rule,priority,human_review
V3-0971,Near Miss,Pipeline Station 3,pipeline repair,"during the afternoon shift, at the Pipeline Station 3, a welding crew was involved in pipeline repair near the utility yard. The worker or crew moved into the work area while an important safeguard was still being checked. This created a situation involving loss of separation from operating machinery. The area was isolated while the condition was investigated.",English,YES,Barrier failure,Barrier ineffective,Hot Work,Critical,Yes
V3-1316,Unsafe Condition,Utility Section,tank entry,"during routine field activity, at the Utility Section, the lifting team was involved in tank entry near the tank farm. The worker or crew started the operation while another crew was still working inside the affected area. This created a situation involving unexpected movement of equipment. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Energy exposure,Personnel exposed to hazard,Confined Space,High,Yes
V3-1500,Near Miss,Maintenance Workshop,crane operation,"shortly after the crew arrived, at the Maintenance Workshop, a contractor was involved in crane operation near the equipment bay. The worker or crew approached the operating equipment without maintaining the expected separation. This created a situation involving possible release of stored energy. The area was isolated while the condition was investigated.",English,YES,Barrier failure,Unexpected hazard identified,Confined Space,Critical,Yes
V3-0469,Near Miss,Utility Section,crane operation,"during a planned maintenance window, at the Utility Section, a vehicle operator was involved in crane operation near the equipment bay. Before the task progressed, the team checked the condition of the equipment before use. The access controls remained in place. No significant control breakdown was identified.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Low,No
V3-0993,Unsafe Act,Production Area B,vessel cleaning,"while preparing the work area, at the Production Area B, the lifting team was involved in vessel cleaning near the tank farm. The worker or crew started the operation while another crew was still working inside the affected area. This created a situation involving possible release of stored energy. The area was isolated while the condition was investigated.",English,YES,Uncontrolled hazard,Personnel exposed to hazard,Line of Fire,Critical,Yes
V3-1365,Unsafe Condition,Gas Processing Unit,lifting operation,"during the afternoon shift, at the Gas Processing Unit, a welding crew was involved in lifting operation near the compressor bay. The worker or crew positioned personnel closer to the active equipment than permitted. This created a situation involving unexpected movement of equipment. The crew stopped work and the control measures were reviewed.",English,YES,Energy exposure,Personnel exposed to hazard,Line of Fire,High,Yes
V3-0902,Unsafe Condition,Tank Farm,vehicle movement,"during the morning shift, at the Tank Farm, a welding crew was involved in vehicle movement near the compressor bay. The worker or crew continued preparation while a critical control remained incomplete. This created a situation involving temporary loss of a protective barrier. The supervisor intervened before the task could continue.",English,YES,Unsafe positioning,Unsafe position observed,Hot Work,Critical,Yes
V3-1087,Unsafe Act,Gas Processing Unit,crane operation,"at the start of the work period, at the Gas Processing Unit, the lifting team was involved in crane operation near the production unit. The worker or crew began work before the isolation status was fully verified. This created a situation involving uncontrolled movement of a suspended load. The supervisor intervened before the task could continue.",English,YES,Energy exposure,Barrier ineffective,Line of Fire,High,Yes
V3-1260,Unsafe Condition,Drilling Site,vehicle movement,"while preparing the work area, at the Drilling Site, the lifting team was involved in vehicle movement near the pipeline corridor. The worker or crew began work before the isolation status was fully verified. This created a situation involving temporary loss of a protective barrier. The supervisor intervened before the task could continue.",English,YES,Energy exposure,Unexpected hazard identified,Confined Space,Critical,Yes
V3-1247,Near Miss,Compressor Station 2,vehicle movement,"during a planned maintenance window, at the Compressor Station 2, the lifting team was involved in vehicle movement near the compressor bay. The worker or crew started the task before the required control had been confirmed. This created a situation involving temporary loss of a protective barrier. The crew stopped work and the control measures were reviewed.",English,YES,Control failure,Control not verified,Confined Space,High,Yes
V3-0693,Near Miss,Tank Farm,lifting operation,"during routine field activity, at the Tank Farm, the inspection team was involved in lifting operation near the valve station. Before the task progressed, the team confirmed the work boundary with the supervisor. The team stayed within the designated work area. The activity continued under the planned controls.",English,NO,No credible precursor identified,Control verified,Line of Fire,Low,No
V3-0579,Unsafe Condition,Compressor Station 2,electrical maintenance,"at the start of the work period, at the Compressor Station 2, A routine inspection identified a small housekeeping deviation with no personnel exposure. The observation was associated with electrical maintenance near the maintenance area. The condition was corrected before it could affect the work. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Confined Space,Low,No
V3-0848,Unsafe Act,Refinery Area A,crane operation,"while preparing the work area, at the Refinery Area A, a welding crew was involved in crane operation near the workshop. The worker or crew continued the activity after a required barrier was found to be ineffective. This created a situation involving an unplanned change in the work environment. The supervisor intervened before the task could continue.",English,YES,Uncontrolled hazard,Unsafe position observed,Line of Fire,High,Yes
V3-0136,Near Miss,Production Area B,grinding,"during the morning shift, at the Production Area B, A temporary access obstruction was identified and removed before personnel entered the area. The observation was associated with grinding near the compressor bay. The issue had no impact on the work boundary. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Hot Work,Routine,No
V3-0563,Unsafe Condition,Utility Section,tank entry,"while preparing the work area, at the Utility Section, A small housekeeping issue was observed beside the work area and was corrected immediately. The observation was associated with tank entry near the pipeline corridor. The condition was corrected before it could affect the work. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Hot Work,Routine,No
V3-0151,Unsafe Condition,Gas Processing Unit,lifting operation,"during the morning shift, at the Gas Processing Unit, a vehicle operator was involved in lifting operation near the production unit. Before the task progressed, the team confirmed that the access route was clear. The planned precautions were maintained. No hazardous deviation was observed.",English,NO,No credible precursor identified,No personnel exposure,Confined Space,Routine,No
V3-0571,Safety Observation,Gas Processing Unit,compressor maintenance,"during the afternoon shift, at the Gas Processing Unit, the inspection team was involved in compressor maintenance near the loading point. Before the task progressed, the team inspected the surrounding area before beginning. The access controls remained in place. The activity continued under the planned controls.",English,NO,No credible precursor identified,Work area controlled,Line of Fire,Routine,No
V3-1171,Unsafe Act,Maintenance Workshop,vessel cleaning,"shortly after the crew arrived, at the Maintenance Workshop, the site team was involved in vessel cleaning near the valve station. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving temporary loss of a protective barrier. The area was isolated while the condition was investigated.",English,YES,Control failure,Personnel exposed to hazard,Energy Isolation,Critical,Yes
V3-0773,Unsafe Act,Loading Terminal,grinding,"before the evening shutdown, at the Loading Terminal, a maintenance technician was involved in grinding near the valve station. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving uncontrolled movement of a suspended load. Work was suspended until the missing control was restored.",English,YES,Uncontrolled hazard,Unsafe position observed,Line of Fire,High,Yes
V3-1451,Unsafe Act,Maintenance Workshop,pipeline repair,"during a planned maintenance window, at the Maintenance Workshop, a vehicle operator was involved in pipeline repair near the pipeline corridor. The worker or crew moved into the work area while an important safeguard was still being checked. This created a situation involving an unplanned change in the work environment. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Uncontrolled hazard,Personnel exposed to hazard,Hot Work,Critical,Yes
V3-0378,Safety Observation,Loading Terminal,welding,"during the morning shift, at the Loading Terminal, a field operator was involved in welding near the equipment bay. Before the task progressed, the team reviewed the isolation status before starting. The required separation was maintained. The observation did not identify a credible high-consequence exposure.",English,NO,No credible precursor identified,Work area controlled,Energy Isolation,Low,No
V3-0520,Near Miss,Maintenance Workshop,pipeline repair,"at the start of the work period, at the Maintenance Workshop, the electrical crew was involved in pipeline repair near the elevated work platform. Before the task progressed, the team confirmed the work boundary with the supervisor. The equipment was within the approved operating condition. The crew completed the activity without a serious exposure.",English,NO,No credible precursor identified,No personnel exposure,Energy Isolation,Low,No
V3-0715,Unsafe Act,Drilling Site,electrical maintenance,"during a planned maintenance window, at the Drilling Site, a contractor was involved in electrical maintenance near the loading point. Before the task progressed, the team verified the required authorization. The work authorization was valid. The crew completed the activity without a serious exposure.",English,NO,No credible precursor identified,Control verified,Energy Isolation,Low,No
V3-0041,Unsafe Act,Drilling Site,lifting operation,"shortly after the crew arrived, at the Drilling Site, the lifting team was involved in lifting operation near the pump area. Before the task progressed, the team confirmed that the access route was clear. The work area remained controlled. No significant control breakdown was identified.",English,NO,No credible precursor identified,No personnel exposure,Confined Space,Low,No
V3-0940,Near Miss,Tank Farm,pipeline repair,"during the afternoon shift, at the Tank Farm, the electrical crew was involved in pipeline repair near the maintenance area. The worker or crew began work before the isolation status was fully verified. This created a situation involving unexpected pressure in the process line. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Uncontrolled hazard,Unsafe position observed,Hot Work,Critical,Yes
V3-0484,Safety Observation,Drilling Site,crane operation,"during a planned maintenance window, at the Drilling Site, the inspection team was involved in crane operation near the valve station. Before the task progressed, the team confirmed the work boundary with the supervisor. The access controls remained in place. No hazardous deviation was observed.",English,NO,No credible precursor identified,Work area controlled,Confined Space,Low,No
V3-1298,Unsafe Act,Utility Section,lifting operation,"at the start of the work period, at the Utility Section, the maintenance group was involved in lifting operation near the pipeline corridor. The worker or crew entered the restricted area before the required authorization was confirmed. This created a situation involving temporary loss of a protective barrier. The crew stopped work and the control measures were reviewed.",English,YES,Barrier failure,Barrier ineffective,Hot Work,High,Yes
V3-0072,Unsafe Condition,Production Area B,welding,"while preparing the work area, at the Production Area B, the electrical crew was involved in welding near the production unit. Before the task progressed, the team confirmed the work boundary with the supervisor. The planned precautions were maintained. The work proceeded without an uncontrolled change in conditions.",English,NO,No credible precursor identified,No personnel exposure,Line of Fire,Low,No
V3-1388,Unsafe Condition,Tank Farm,lifting operation,"during the morning shift, at the Tank Farm, a field operator was involved in lifting operation near the tank farm. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving unexpected movement of equipment. The team withdrew from the area and reassessed the work conditions.",English,YES,Barrier failure,Control not verified,Hot Work,Critical,Yes
V3-1356,Unsafe Act,Compressor Station 2,pipeline repair,"during the afternoon shift, at the Compressor Station 2, the site team was involved in pipeline repair near the maintenance area. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving possible release of stored energy. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Barrier failure,Barrier ineffective,Line of Fire,Critical,Yes
V3-1448,Unsafe Act,Pipeline Station 3,vessel cleaning,"during the afternoon shift, at the Pipeline Station 3, a welding crew was involved in vessel cleaning near the tank farm. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving an active energy source that had not been fully controlled. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Control failure,Unexpected hazard identified,Hot Work,High,Yes
V3-0100,Safety Observation,Refinery Area A,lifting operation,"at the start of the work period, at the Refinery Area A, a contractor was involved in lifting operation near the production unit. Before the task progressed, the team confirmed that the access route was clear. The planned precautions were maintained. The surrounding conditions remained stable throughout the task.",English,NO,No credible precursor identified,Control verified,Confined Space,Low,No
V3-0357,Unsafe Condition,Maintenance Workshop,grinding,"before the evening shutdown, at the Maintenance Workshop, a contractor was involved in grinding near the loading point. Before the task progressed, the team confirmed communication with the control room. The team stayed within the designated work area. The planned barriers remained effective during the observation.",English,NO,No credible precursor identified,Control verified,Confined Space,Low,No
V3-0467,Near Miss,Utility Section,electrical maintenance,"shortly after the crew arrived, at the Utility Section, The team noticed a damaged label on equipment and replaced it before continuing. The observation was associated with electrical maintenance near the pump area. The crew maintained the required separation throughout. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Line of Fire,Routine,No
V3-0941,Near Miss,Loading Terminal,welding,"during the morning shift, at the Loading Terminal, the site team was involved in welding near the storage area. The worker or crew positioned personnel closer to the active equipment than permitted. This created a situation involving uncontrolled movement of a suspended load. The crew stopped work and the control measures were reviewed.",English,YES,Control failure,Control not verified,Hot Work,High,Yes
V3-0596,Safety Observation,Refinery Area A,crane operation,"shortly after the crew arrived, at the Refinery Area A, the lifting team was involved in crane operation near the pump area. Before the task progressed, the team confirmed the work boundary with the supervisor. The approved sequence was followed. The planned barriers remained effective during the observation.",English,NO,No credible precursor identified,Procedure followed,Energy Isolation,Low,No
V3-1107,Unsafe Act,Maintenance Workshop,welding,"while preparing the work area, at the Maintenance Workshop, a field operator was involved in welding near the production unit. The worker or crew continued preparation while a critical control remained incomplete. This created a situation involving movement of a vehicle through the work area. The crew stopped work and the control measures were reviewed.",English,YES,Control failure,Unsafe position observed,Hot Work,Critical,Yes
V3-0308,Safety Observation,Production Area B,crane operation,"at the start of the work period, at the Production Area B, a welding crew was involved in crane operation near the workshop. Before the task progressed, the team inspected the surrounding area before beginning. The supervisor remained available. The surrounding conditions remained stable throughout the task.",English,NO,No credible precursor identified,Work area controlled,Hot Work,Routine,No
V3-1225,Unsafe Act,Gas Processing Unit,vehicle movement,"at the start of the work period, at the Gas Processing Unit, a contractor was involved in vehicle movement near the workshop. The worker or crew began work before the isolation status was fully verified. This created a situation involving unexpected movement of equipment. The supervisor intervened before the task could continue.",English,YES,Barrier failure,Unexpected hazard identified,Confined Space,High,Yes
V3-1284,Unsafe Act,Pipeline Station 3,lifting operation,"during routine field activity, at the Pipeline Station 3, a contractor was involved in lifting operation near the pipeline corridor. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving unexpected movement of equipment. The area was isolated while the condition was investigated.",English,YES,Barrier failure,Unexpected hazard identified,Hot Work,Critical,Yes
V3-0306,Unsafe Condition,Maintenance Workshop,lifting operation,"during the morning shift, at the Maintenance Workshop, the maintenance group was involved in lifting operation near the pump area. Before the task progressed, the team inspected the surrounding area before beginning. The access controls remained in place. No significant control breakdown was identified.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Routine,No
V3-0027,Unsafe Act,Production Area B,crane operation,"before the evening shutdown, at the Production Area B, a contractor was involved in crane operation near the pump area. Before the task progressed, the team confirmed that the access route was clear. The supervisor remained available. The surrounding conditions remained stable throughout the task.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Routine,No
V3-0898,Unsafe Act,Production Area B,welding,"while preparing the work area, at the Production Area B, the inspection team was involved in welding near the tank farm. The worker or crew entered the restricted area before the required authorization was confirmed. This created a situation involving uncontrolled movement of a suspended load. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Barrier failure,Control not verified,Line of Fire,Critical,Yes
V3-0521,Safety Observation,Maintenance Workshop,electrical maintenance,"before the evening shutdown, at the Maintenance Workshop, the electrical crew was involved in electrical maintenance near the maintenance area. Before the task progressed, the team completed the pre-job safety discussion. The equipment was within the approved operating condition. The surrounding conditions remained stable throughout the task.",English,NO,No credible precursor identified,Work area controlled,Confined Space,Routine,No
V3-1309,Unsafe Act,Utility Section,grinding,"during a planned maintenance window, at the Utility Section, a contractor was involved in grinding near the compressor bay. The worker or crew began work before the isolation status was fully verified. This created a situation involving uncontrolled movement of a suspended load. The supervisor intervened before the task could continue.",English,YES,Uncontrolled hazard,Barrier ineffective,Hot Work,Critical,Yes
V3-0796,Near Miss,Compressor Station 2,tank entry,"during a planned maintenance window, at the Compressor Station 2, a welding crew was involved in tank entry near the pump area. The worker or crew began work before the isolation status was fully verified. This created a situation involving loss of separation from operating machinery. The area was isolated while the condition was investigated.",English,YES,Control failure,Control not verified,Energy Isolation,Critical,Yes
V3-0851,Unsafe Condition,Loading Terminal,pipeline repair,"while preparing the work area, at the Loading Terminal, the lifting team was involved in pipeline repair near the production unit. The worker or crew began work before the isolation status was fully verified. This created a situation involving movement of a vehicle through the work area. The area was isolated while the condition was investigated.",English,YES,Control failure,Control not verified,Confined Space,High,Yes
V3-0060,Unsafe Act,Drilling Site,tank entry,"during routine field activity, at the Drilling Site, the maintenance group was involved in tank entry near the tank farm. Before the task progressed, the team completed the pre-job safety discussion. The required safeguards were available. The crew completed the activity without a serious exposure.",English,NO,No credible precursor identified,Control verified,Confined Space,Low,No
V3-0147,Unsafe Act,Tank Farm,vessel cleaning,"while preparing the work area, at the Tank Farm, A routine inspection identified a small housekeeping deviation with no personnel exposure. The observation was associated with vessel cleaning near the process line. No person was exposed to the condition. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Work area controlled,Hot Work,Routine,No
V3-1404,Unsafe Act,Gas Processing Unit,welding,"before the evening shutdown, at the Gas Processing Unit, a welding crew was involved in welding near the compressor bay. The worker or crew approached the operating equipment without maintaining the expected separation. This created a situation involving an active energy source that had not been fully controlled. Work was suspended until the missing control was restored.",English,YES,Control failure,Personnel exposed to hazard,Hot Work,Critical,Yes
V3-0497,Safety Observation,Compressor Station 2,vehicle movement,"during a planned maintenance window, at the Compressor Station 2, the lifting team was involved in vehicle movement near the utility yard. Before the task progressed, the team confirmed the work boundary with the supervisor. The planned precautions were maintained. The observation did not identify a credible high-consequence exposure.",English,NO,No credible precursor identified,Procedure followed,Energy Isolation,Low,No
V3-0314,Safety Observation,Utility Section,tank entry,"during the morning shift, at the Utility Section, a maintenance technician was involved in tank entry near the compressor bay. Before the task progressed, the team checked the condition of the lifting equipment. The planned precautions were maintained. No hazardous deviation was observed.",English,NO,No credible precursor identified,Procedure followed,Energy Isolation,Low,No
V3-1115,Unsafe Act,Gas Processing Unit,lifting operation,"while preparing the work area, at the Gas Processing Unit, a field operator was involved in lifting operation near the pipeline corridor. The worker or crew positioned personnel closer to the active equipment than permitted. This created a situation involving unexpected movement of equipment. The operation was halted until the required protection was established.",English,YES,Energy exposure,Barrier ineffective,Hot Work,Critical,Yes
V3-1029,Near Miss,Compressor Station 2,crane operation,"during routine field activity, at the Compressor Station 2, the electrical crew was involved in crane operation near the equipment bay. The worker or crew moved into the work area while an important safeguard was still being checked. This created a situation involving possible release of stored energy. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Uncontrolled hazard,Control not verified,Line of Fire,High,Yes
V3-0897,Unsafe Act,Tank Farm,crane operation,"during routine field activity, at the Tank Farm, the maintenance group was involved in crane operation near the tank farm. The worker or crew continued preparation while a critical control remained incomplete. This created a situation involving loss of separation from operating machinery. The operation was halted until the required protection was established.",English,YES,Energy exposure,Barrier ineffective,Line of Fire,High,Yes
V3-1420,Near Miss,Drilling Site,compressor maintenance,"during the afternoon shift, at the Drilling Site, a vehicle operator was involved in compressor maintenance near the process line. The worker or crew continued preparation while a critical control remained incomplete. This created a situation involving exposure to an energized component. The activity was paused and the affected equipment was secured.",English,YES,Uncontrolled hazard,Unexpected hazard identified,Line of Fire,High,Yes
V3-1346,Unsafe Act,Gas Processing Unit,electrical maintenance,"before the evening shutdown, at the Gas Processing Unit, the maintenance group was involved in electrical maintenance near the equipment bay. The worker or crew began work before the isolation status was fully verified. This created a situation involving unexpected pressure in the process line. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Energy exposure,Unsafe position observed,Energy Isolation,High,Yes
V3-0430,Unsafe Condition,Pipeline Station 3,vessel cleaning,"at the start of the work period, at the Pipeline Station 3, A warning sign had shifted from its original position and was restored before work started. The observation was associated with vessel cleaning near the pipeline corridor. The affected item was outside the active work path. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Line of Fire,Low,No
V3-0172,Safety Observation,Drilling Site,vessel cleaning,"at the start of the work period, at the Drilling Site, A worker reported a minor equipment defect that did not affect the active task and the item was tagged for follow-up. The observation was associated with vessel cleaning near the valve station. The issue had no impact on the work boundary. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Procedure followed,Hot Work,Low,No
V3-1273,Unsafe Act,Loading Terminal,vehicle movement,"at the start of the work period, at the Loading Terminal, a vehicle operator was involved in vehicle movement near the utility yard. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving loss of separation from operating machinery. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Unsafe positioning,Personnel exposed to hazard,Hot Work,High,Yes
V3-0850,Unsafe Condition,Tank Farm,lifting operation,"before the evening shutdown, at the Tank Farm, the electrical crew was involved in lifting operation near the compressor bay. The worker or crew entered the restricted area before the required authorization was confirmed. This created a situation involving an unplanned change in the work environment. The activity was paused and the affected equipment was secured.",English,YES,Energy exposure,Unexpected hazard identified,Hot Work,Critical,Yes
V3-0620,Unsafe Condition,Refinery Area A,welding,"at the start of the work period, at the Refinery Area A, a welding crew was involved in welding near the pipeline corridor. Before the task progressed, the team confirmed communication with the control room. The team stayed within the designated work area. The activity continued under the planned controls.",English,NO,No credible precursor identified,Procedure followed,Hot Work,Routine,No
V3-0450,Unsafe Act,Pipeline Station 3,vessel cleaning,"during the morning shift, at the Pipeline Station 3, the inspection team was involved in vessel cleaning near the storage area. Before the task progressed, the team reviewed the work instructions before starting. The team stayed within the designated work area. The observation did not identify a credible high-consequence exposure.",English,NO,No credible precursor identified,Precaution confirmed,Line of Fire,Low,No
V3-0608,Safety Observation,Gas Processing Unit,vehicle movement,"before the evening shutdown, at the Gas Processing Unit, a vehicle operator was involved in vehicle movement near the workshop. Before the task progressed, the team checked the condition of the lifting equipment. The supervisor remained available. No hazardous deviation was observed.",English,NO,No credible precursor identified,Control verified,Line of Fire,Routine,No
V3-1089,Unsafe Condition,Gas Processing Unit,vehicle movement,"before the evening shutdown, at the Gas Processing Unit, the site team was involved in vehicle movement near the storage area. The worker or crew positioned personnel closer to the active equipment than permitted. This created a situation involving possible release of stored energy. The area was isolated while the condition was investigated.",English,YES,Unsafe positioning,Unsafe position observed,Confined Space,Critical,Yes
V3-1366,Near Miss,Drilling Site,electrical maintenance,"before the evening shutdown, at the Drilling Site, a vehicle operator was involved in electrical maintenance near the workshop. The worker or crew started the task before the required control had been confirmed. This created a situation involving temporary loss of a protective barrier. The area was isolated while the condition was investigated.",English,YES,Energy exposure,Unsafe position observed,Energy Isolation,High,Yes
V3-0559,Unsafe Condition,Gas Processing Unit,grinding,"during the morning shift, at the Gas Processing Unit, A warning sign had shifted from its original position and was restored before work started. The observation was associated with grinding near the elevated work platform. The crew maintained the required separation throughout. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Low,No
V3-1469,Unsafe Act,Loading Terminal,welding,"during the morning shift, at the Loading Terminal, a vehicle operator was involved in welding near the maintenance area. The worker or crew positioned personnel closer to the active equipment than permitted. This created a situation involving uncontrolled movement of a suspended load. The operation was halted until the required protection was established.",English,YES,Uncontrolled hazard,Unsafe position observed,Energy Isolation,Critical,Yes
V3-0915,Unsafe Act,Gas Processing Unit,lifting operation,"before the evening shutdown, at the Gas Processing Unit, a field operator was involved in lifting operation near the compressor bay. The worker or crew entered the restricted area before the required authorization was confirmed. This created a situation involving exposure to an energized component. The supervisor intervened before the task could continue.",English,YES,Control failure,Barrier ineffective,Confined Space,Critical,Yes
V3-1393,Near Miss,Tank Farm,lifting operation,"at the start of the work period, at the Tank Farm, the inspection team was involved in lifting operation near the equipment bay. The worker or crew proceeded with the task after an unexpected change in conditions. This created a situation involving exposure to an energized component. The supervisor intervened before the task could continue.",English,YES,Unsafe positioning,Personnel exposed to hazard,Confined Space,High,Yes
V3-0567,Unsafe Condition,Pipeline Station 3,grinding,"during the morning shift, at the Pipeline Station 3, a contractor was involved in grinding near the equipment bay. Before the task progressed, the team inspected the surrounding area before beginning. The equipment was within the approved operating condition. No hazardous deviation was observed.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Routine,No
V3-0425,Near Miss,Maintenance Workshop,crane operation,"shortly after the crew arrived, at the Maintenance Workshop, a welding crew was involved in crane operation near the electrical room. Before the task progressed, the team reviewed the work instructions before starting. The equipment was within the approved operating condition. No significant control breakdown was identified.",English,NO,No credible precursor identified,Control verified,Energy Isolation,Low,No
V3-1499,Unsafe Act,Gas Processing Unit,electrical maintenance,"before the evening shutdown, at the Gas Processing Unit, a maintenance technician was involved in electrical maintenance near the workshop. The worker or crew started the operation while another crew was still working inside the affected area. This created a situation involving temporary loss of a protective barrier. The supervisor stopped the activity and moved the crew to a safe location.",English,YES,Uncontrolled hazard,Unexpected hazard identified,Energy Isolation,High,Yes
V3-0034,Near Miss,Pipeline Station 3,lifting operation,"at the start of the work period, at the Pipeline Station 3, a field operator was involved in lifting operation near the equipment bay. Before the task progressed, the team checked the condition of the lifting equipment. The equipment was within the approved operating condition. No hazardous deviation was observed.",English,NO,No credible precursor identified,Work area controlled,Hot Work,Routine,No
V3-0575,Near Miss,Utility Section,compressor maintenance,"while preparing the work area, at the Utility Section, the site team was involved in compressor maintenance near the pipeline corridor. Before the task progressed, the team confirmed communication with the control room. The team stayed within the designated work area. No significant control breakdown was identified.",English,NO,No credible precursor identified,Work area controlled,Energy Isolation,Routine,No
V3-0726,Safety Observation,Production Area B,crane operation,"while preparing the work area, at the Production Area B, A worker reported a minor equipment defect that did not affect the active task and the item was tagged for follow-up. The observation was associated with crane operation near the pipeline corridor. The task had not started when the issue was identified. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Procedure followed,Energy Isolation,Routine,No
