report_id,report_type,site,activity,report_text,language,sif_potential,precursor,evidence,life_saving_rule,priority,human_review
SIF-0032,Incident,Site F,Vehicle Movement,The team was preparing for Vehicle Movement while the Line of Fire control was bypassed or incomplete. The unsafe condition could have resulted in severe harm.,English,YES,Uncontrolled hazard,Permit/control verification incomplete,Line of Fire,High,Required
SIF-0033,Incident,Site E,Crane Operation,"During Crane Operation, the team followed the approved procedure and confirmed Line of Fire controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Permit and barriers confirmed,Line of Fire,Normal,Not required
SIF-0034,Unsafe Act,Site A,Tank Entry,A barrier failure was identified during Tank Entry. The missing or ineffective Confined Space control left workers exposed to a high-consequence hazard.,English,YES,Unsafe positioning,Barrier failure identified,Confined Space,Critical,Required
SIF-0035,Unsafe Act,Site F,Grinding,The report records a normal safety observation during Grinding. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Routine observation with effective controls,Hot Work,Low,Not required
SIF-0036,Near-Miss,Site D,Compressor Maintenance,"During Compressor Maintenance, the required Energy Isolation control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Barrier failure,Personnel exposed to high-energy hazard,Energy Isolation,High,Required
SIF-0037,Unsafe Condition,Site D,Vessel Cleaning,"The crew completed Vessel Cleaning after confirming permits, barriers, and Confined Space requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,Approved procedure followed,Confined Space,Normal,Not required
SIF-0038,Unsafe Act,Site B,Grinding,The report describes a near-miss in Grinding involving inadequate Hot Work controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Control failure,Permit/control verification incomplete,Hot Work,High,Required
SIF-0039,Unsafe Act,Site A,Vessel Cleaning,A planned Vessel Cleaning task was completed with appropriate supervision and documented Confined Space controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Approved procedure followed,Confined Space,Low,Not required
SIF-0040,Incident,Site D,Electrical Maintenance,The team was preparing for Electrical Maintenance while the Energy Isolation control was bypassed or incomplete. The unsafe condition could have resulted in severe harm.,English,YES,Barrier failure,Unsafe positioning or uncontrolled exposure,Energy Isolation,High,Required
SIF-0041,Incident,Site A,Electrical Maintenance,A routine inspection of Electrical Maintenance found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Permit and barriers confirmed,Energy Isolation,Normal,Not required
SIF-0042,Incident,Site F,Electrical Maintenance,A near-miss was observed during Electrical Maintenance when Energy Isolation precautions were incomplete. The report indicates a clear SIF precursor requiring HSE review.,English,YES,Barrier failure,Personnel exposed to high-energy hazard,Energy Isolation,Critical,Required
SIF-0043,Unsafe Act,Site E,Compressor Maintenance,The report records a normal safety observation during Compressor Maintenance. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Low,Not required
SIF-0044,Incident,Site E,Compressor Maintenance,A near-miss was observed during Compressor Maintenance when Energy Isolation precautions were incomplete. The report indicates a clear SIF precursor requiring HSE review.,English,YES,Barrier failure,Required control was missing or not verified,Energy Isolation,High,Required
SIF-0045,Unsafe Act,Site E,Pipeline Repair,The report records a normal safety observation during Pipeline Repair. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Approved procedure followed,Energy Isolation,Normal,Not required
SIF-0046,Unsafe Condition,Site E,Pipeline Repair,Worker started Pipeline Repair without confirming effective Energy Isolation controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Unsafe positioning,Permit/control verification incomplete,Energy Isolation,High,Required
SIF-0047,Near-Miss,Site E,Crane Operation,A routine inspection of Crane Operation found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Approved procedure followed,Line of Fire,Normal,Not required
SIF-0048,Incident,Site C,Tank Entry,A near-miss was observed during Tank Entry when Confined Space precautions were incomplete. The report indicates a clear SIF precursor requiring HSE review.,English,YES,Unsafe positioning,Near-miss with serious consequence potential,Confined Space,Critical,Required
SIF-0049,Unsafe Act,Site A,Lifting Operation,"The crew completed Lifting Operation after confirming permits, barriers, and Line of Fire requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Low,Not required
SIF-0050,Unsafe Condition,Site E,Pipeline Repair,"During inspection of Pipeline Repair, personnel were found within a hazardous exposure zone without adequate Energy Isolation protection. Immediate correction was required.",English,YES,Control failure,Personnel exposed to high-energy hazard,Energy Isolation,Critical,Required
SIF-0051,Near-Miss,Site C,Tank Entry,"During Tank Entry, the team followed the approved procedure and confirmed Confined Space controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Permit and barriers confirmed,Confined Space,Normal,Not required
SIF-0052,Unsafe Act,Site F,Crane Operation,"During inspection of Crane Operation, personnel were found within a hazardous exposure zone without adequate Line of Fire protection. Immediate correction was required.",English,YES,Barrier failure,Near-miss with serious consequence potential,Line of Fire,High,Required
SIF-0053,Unsafe Act,Site A,Vehicle Movement,The report records a normal safety observation during Vehicle Movement. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Low,Not required
SIF-0054,Unsafe Condition,Site C,Vehicle Movement,An unsafe act occurred during Vehicle Movement; the crew proceeded before confirming Line of Fire controls. The event had serious-injury potential despite no major consequence.,English,YES,Incomplete permit/control,Personnel exposed to high-energy hazard,Line of Fire,Critical,Required
SIF-0055,Unsafe Act,Site C,Grinding,Routine Grinding was completed with the required Hot Work controls verified and documented. No credible SIF precursor was identified.,English,NO,No credible SIF precursor,Routine observation with effective controls,Hot Work,Normal,Not required
SIF-0056,Unsafe Act,Site A,Vehicle Movement,An unsafe act occurred during Vehicle Movement; the crew proceeded before confirming Line of Fire controls. The event had serious-injury potential despite no major consequence.,English,YES,Barrier failure,Personnel exposed to high-energy hazard,Line of Fire,Critical,Required
SIF-0057,Incident,Site E,Grinding,"During Grinding, the supervisor verified the relevant Hot Work control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Required controls verified,Hot Work,Low,Not required
SIF-0058,Unsafe Condition,Site F,Pipeline Repair,Worker started Pipeline Repair without confirming effective Energy Isolation controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Unsafe positioning,Barrier failure identified,Energy Isolation,High,Required
SIF-0059,Near-Miss,Site A,Welding Near Hydrocarbon Equipment,A routine inspection of Welding Near Hydrocarbon Equipment found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Required controls verified,Hot Work,Normal,Not required
SIF-0060,Unsafe Condition,Site F,Tank Entry,"During Tank Entry, the required Confined Space control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Incomplete permit/control,Barrier failure identified,Confined Space,Critical,Required
SIF-0061,Unsafe Condition,Site B,Welding Near Hydrocarbon Equipment,A planned Welding Near Hydrocarbon Equipment task was completed with appropriate supervision and documented Hot Work controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Approved procedure followed,Hot Work,Normal,Not required
SIF-0062,Near-Miss,Site B,Compressor Maintenance,A barrier failure was identified during Compressor Maintenance. The missing or ineffective Energy Isolation control left workers exposed to a high-consequence hazard.,English,YES,Energy exposure,Near-miss with serious consequence potential,Energy Isolation,High,Required
SIF-0063,Unsafe Act,Site F,Welding Near Hydrocarbon Equipment,"The crew completed Welding Near Hydrocarbon Equipment after confirming permits, barriers, and Hot Work requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,Required controls verified,Hot Work,Normal,Not required
SIF-0064,Incident,Site B,Tank Entry,An unsafe act occurred during Tank Entry; the crew proceeded before confirming Confined Space controls. The event had serious-injury potential despite no major consequence.,English,YES,Barrier failure,Barrier failure identified,Confined Space,High,Required
SIF-0065,Unsafe Condition,Site F,Compressor Maintenance,"The crew completed Compressor Maintenance after confirming permits, barriers, and Energy Isolation requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Normal,Not required
SIF-0066,Near-Miss,Site C,Pipeline Repair,A barrier failure was identified during Pipeline Repair. The missing or ineffective Energy Isolation control left workers exposed to a high-consequence hazard.,English,YES,Control failure,Near-miss with serious consequence potential,Energy Isolation,Critical,Required
SIF-0067,Unsafe Condition,Site C,Pipeline Repair,"During Pipeline Repair, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Low,Not required
SIF-0068,Incident,Site E,Pipeline Repair,An unsafe act occurred during Pipeline Repair; the crew proceeded before confirming Energy Isolation controls. The event had serious-injury potential despite no major consequence.,English,YES,Unsafe positioning,Near-miss with serious consequence potential,Energy Isolation,Critical,Required
SIF-0069,Unsafe Act,Site E,Crane Operation,"The crew completed Crane Operation after confirming permits, barriers, and Line of Fire requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Low,Not required
SIF-0070,Incident,Site A,Vehicle Movement,Worker started Vehicle Movement without confirming effective Line of Fire controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Energy exposure,Permit/control verification incomplete,Line of Fire,High,Required
SIF-0071,Near-Miss,Site A,Electrical Maintenance,"During Electrical Maintenance, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Low,Not required
SIF-0072,Near-Miss,Site E,Vehicle Movement,A barrier failure was identified during Vehicle Movement. The missing or ineffective Line of Fire control left workers exposed to a high-consequence hazard.,English,YES,Uncontrolled hazard,Barrier failure identified,Line of Fire,Critical,Required
SIF-0073,Unsafe Condition,Site E,Vehicle Movement,"During Vehicle Movement, the team followed the approved procedure and confirmed Line of Fire controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Permit and barriers confirmed,Line of Fire,Normal,Not required
SIF-0074,Near-Miss,Site E,Welding Near Hydrocarbon Equipment,A barrier failure was identified during Welding Near Hydrocarbon Equipment. The missing or ineffective Hot Work control left workers exposed to a high-consequence hazard.,English,YES,Energy exposure,Permit/control verification incomplete,Hot Work,High,Required
SIF-0075,Incident,Site B,Vehicle Movement,A planned Vehicle Movement task was completed with appropriate supervision and documented Line of Fire controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Normal,Not required
SIF-0076,Incident,Site D,Grinding,The team was preparing for Grinding while the Hot Work control was bypassed or incomplete. The unsafe condition could have resulted in severe harm.,English,YES,Uncontrolled hazard,Permit/control verification incomplete,Hot Work,Critical,Required
SIF-0077,Unsafe Act,Site F,Welding Near Hydrocarbon Equipment,A routine inspection of Welding Near Hydrocarbon Equipment found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Hot Work,Normal,Not required
SIF-0078,Near-Miss,Site B,Pipeline Repair,The team was preparing for Pipeline Repair while the Energy Isolation control was bypassed or incomplete. The unsafe condition could have resulted in severe harm.,English,YES,Control failure,Personnel exposed to high-energy hazard,Energy Isolation,High,Required
SIF-0079,Incident,Site B,Compressor Maintenance,"During Compressor Maintenance, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Required controls verified,Energy Isolation,Normal,Not required
SIF-0080,Unsafe Condition,Site F,Electrical Maintenance,A barrier failure was identified during Electrical Maintenance. The missing or ineffective Energy Isolation control left workers exposed to a high-consequence hazard.,English,YES,Barrier failure,Unsafe positioning or uncontrolled exposure,Energy Isolation,Critical,Required
SIF-0081,Unsafe Act,Site F,Welding Near Hydrocarbon Equipment,A planned Welding Near Hydrocarbon Equipment task was completed with appropriate supervision and documented Hot Work controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Required controls verified,Hot Work,Normal,Not required
SIF-0082,Incident,Site B,Tank Entry,Worker started Tank Entry without confirming effective Confined Space controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Control failure,Permit/control verification incomplete,Confined Space,High,Required
SIF-0083,Incident,Site B,Grinding,The report records a normal safety observation during Grinding. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Hot Work,Normal,Not required
SIF-0084,Incident,Site E,Grinding,The report describes a near-miss in Grinding involving inadequate Hot Work controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Unsafe positioning,Personnel exposed to high-energy hazard,Hot Work,Critical,Required
SIF-0085,Near-Miss,Site B,Vehicle Movement,A planned Vehicle Movement task was completed with appropriate supervision and documented Line of Fire controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Normal,Not required
SIF-0086,Incident,Site C,Tank Entry,"During Tank Entry, the required Confined Space control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Barrier failure,Near-miss with serious consequence potential,Confined Space,Critical,Required
SIF-0087,Near-Miss,Site C,Vehicle Movement,"During Vehicle Movement, the supervisor verified the relevant Line of Fire control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Required controls verified,Line of Fire,Low,Not required
SIF-0088,Incident,Site B,Welding Near Hydrocarbon Equipment,A near-miss was observed during Welding Near Hydrocarbon Equipment when Hot Work precautions were incomplete. The report indicates a clear SIF precursor requiring HSE review.,English,YES,Control failure,Near-miss with serious consequence potential,Hot Work,High,Required
SIF-0089,Near-Miss,Site D,Electrical Maintenance,"During Electrical Maintenance, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Permit and barriers confirmed,Energy Isolation,Normal,Not required
SIF-0090,Incident,Site B,Compressor Maintenance,A barrier failure was identified during Compressor Maintenance. The missing or ineffective Energy Isolation control left workers exposed to a high-consequence hazard.,English,YES,Incomplete permit/control,Permit/control verification incomplete,Energy Isolation,High,Required
SIF-0091,Unsafe Act,Site D,Electrical Maintenance,A routine inspection of Electrical Maintenance found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Normal,Not required
SIF-0092,Unsafe Condition,Site E,Electrical Maintenance,The report describes a near-miss in Electrical Maintenance involving inadequate Energy Isolation controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Unsafe positioning,Personnel exposed to high-energy hazard,Energy Isolation,Critical,Required
SIF-0093,Incident,Site A,Grinding,A routine inspection of Grinding found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Routine observation with effective controls,Hot Work,Normal,Not required
SIF-0094,Unsafe Condition,Site D,Welding Near Hydrocarbon Equipment,Worker started Welding Near Hydrocarbon Equipment without confirming effective Hot Work controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Control failure,Unsafe positioning or uncontrolled exposure,Hot Work,High,Required
SIF-0095,Incident,Site B,Electrical Maintenance,"During Electrical Maintenance, the team followed the approved procedure and confirmed Energy Isolation controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Required controls verified,Energy Isolation,Normal,Not required
SIF-0096,Unsafe Condition,Site C,Electrical Maintenance,The report describes a near-miss in Electrical Maintenance involving inadequate Energy Isolation controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Unsafe positioning,Barrier failure identified,Energy Isolation,Critical,Required
SIF-0097,Near-Miss,Site D,Vehicle Movement,A planned Vehicle Movement task was completed with appropriate supervision and documented Line of Fire controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Required controls verified,Line of Fire,Normal,Not required
SIF-0098,Unsafe Act,Site F,Compressor Maintenance,An unsafe act occurred during Compressor Maintenance; the crew proceeded before confirming Energy Isolation controls. The event had serious-injury potential despite no major consequence.,English,YES,Uncontrolled hazard,Personnel exposed to high-energy hazard,Energy Isolation,High,Required
SIF-0099,Unsafe Condition,Site A,Compressor Maintenance,"During Compressor Maintenance, the team followed the approved procedure and confirmed Energy Isolation controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Required controls verified,Energy Isolation,Low,Not required
SIF-0100,Incident,Site B,Tank Entry,"During Tank Entry, the required Confined Space control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Unsafe positioning,Permit/control verification incomplete,Confined Space,High,Required
SIF-0101,Unsafe Condition,Site C,Vehicle Movement,"During Vehicle Movement, the supervisor verified the relevant Line of Fire control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Low,Not required
SIF-0102,Unsafe Act,Site C,Welding Near Hydrocarbon Equipment,Worker started Welding Near Hydrocarbon Equipment without confirming effective Hot Work controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Unsafe positioning,Barrier failure identified,Hot Work,Critical,Required
SIF-0103,Unsafe Condition,Site A,Tank Entry,Routine Tank Entry was completed with the required Confined Space controls verified and documented. No credible SIF precursor was identified.,English,NO,No credible SIF precursor,Routine observation with effective controls,Confined Space,Normal,Not required
SIF-0104,Unsafe Act,Site A,Crane Operation,An unsafe act occurred during Crane Operation; the crew proceeded before confirming Line of Fire controls. The event had serious-injury potential despite no major consequence.,English,YES,Uncontrolled hazard,Permit/control verification incomplete,Line of Fire,Critical,Required
SIF-0105,Near-Miss,Site A,Lifting Operation,Routine Lifting Operation was completed with the required Line of Fire controls verified and documented. No credible SIF precursor was identified.,English,NO,No credible SIF precursor,Permit and barriers confirmed,Line of Fire,Normal,Not required
SIF-0106,Near-Miss,Site D,Pipeline Repair,The report describes a near-miss in Pipeline Repair involving inadequate Energy Isolation controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Unsafe positioning,Near-miss with serious consequence potential,Energy Isolation,High,Required
SIF-0107,Near-Miss,Site F,Welding Near Hydrocarbon Equipment,"During Welding Near Hydrocarbon Equipment, the supervisor verified the relevant Hot Work control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Hot Work,Normal,Not required
SIF-0108,Near-Miss,Site D,Grinding,An unsafe act occurred during Grinding; the crew proceeded before confirming Hot Work controls. The event had serious-injury potential despite no major consequence.,English,YES,Energy exposure,Personnel exposed to high-energy hazard,Hot Work,High,Required
SIF-0109,Incident,Site B,Grinding,"During Grinding, the supervisor verified the relevant Hot Work control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Hot Work,Normal,Not required
SIF-0110,Incident,Site A,Lifting Operation,An unsafe act occurred during Lifting Operation; the crew proceeded before confirming Line of Fire controls. The event had serious-injury potential despite no major consequence.,English,YES,Barrier failure,Personnel exposed to high-energy hazard,Line of Fire,Critical,Required
SIF-0111,Near-Miss,Site C,Lifting Operation,A routine inspection of Lifting Operation found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Line of Fire,Normal,Not required
SIF-0112,Unsafe Condition,Site A,Vessel Cleaning,"During Vessel Cleaning, the required Confined Space control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Unsafe positioning,Personnel exposed to high-energy hazard,Confined Space,Critical,Required
SIF-0113,Incident,Site B,Vessel Cleaning,The report records a normal safety observation during Vessel Cleaning. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Routine observation with effective controls,Confined Space,Normal,Not required
SIF-0114,Unsafe Act,Site A,Grinding,"During inspection of Grinding, personnel were found within a hazardous exposure zone without adequate Hot Work protection. Immediate correction was required.",English,YES,Uncontrolled hazard,Personnel exposed to high-energy hazard,Hot Work,Critical,Required
SIF-0115,Near-Miss,Site C,Tank Entry,"The crew completed Tank Entry after confirming permits, barriers, and Confined Space requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Confined Space,Normal,Not required
SIF-0116,Near-Miss,Site F,Electrical Maintenance,An unsafe act occurred during Electrical Maintenance; the crew proceeded before confirming Energy Isolation controls. The event had serious-injury potential despite no major consequence.,English,YES,Energy exposure,Near-miss with serious consequence potential,Energy Isolation,Critical,Required
